B|2|AAPL|NYSE|96|24.5|1557342590.05963
M|2|AAPL|NYSE|117|24.5|1557342590.06025
M|2|AAPL|NYSE|128|24.5|1557342590.0605
B|3|AAPL|NYSE|226|23.9|1557342590.0607
C|3|AAPL|NYSE|226|23.9|1557342590.06093
B|4|AAPL|NYSE|195|23.2|1557342590.06115
A|5|AAPL|NYSE|204|25.9|1557342590.06137
B|6|AAPL|NYSE|181|24.1|1557342590.06158
B|7|AAPL|NYSE|197|24.6|1557342590.06178
M|7|AAPL|NYSE|173|24.6|1557342590.06203
A|8|AAPL|NYSE|186|30|1557342590.06223
A|9|AAPL|NYSE|226|25.9|1557342590.06243
T|10|AAPL|NYSE|677|25.5|1557342590.06263
M|8|AAPL|NYSE|139|30|1557342590.0628
A|11|AAPL|NYSE|202|30.2|1557342590.06299
A|12|AAPL|NYSE|168|27.6|1557342590.06318
A|13|AAPL|NYSE|215|25.9|1557342590.06339
B|14|AAPL|NYSE|182|22.1|1557342590.06359
A|15|AAPL|NYSE|241|26.8|1557342590.06379
C|8|AAPL|NYSE|139|30|1557342590.064
A|16|AAPL|NYSE|246|26.1|1557342590.06421
A|17|AAPL|NYSE|224|30.5|1557342590.06441
A|18|AAPL|NYSE|216|31|1557342590.06461
T|19|AAPL|NYSE|1086|25.5|1557342590.06481
A|20|AAPL|NYSE|191|26.2|1557342590.06496
M|20|AAPL|NYSE|144|26.2|1557342590.06516
A|21|AAPL|NYSE|252|27|1557342590.06536
A|22|AAPL|NYSE|211|30.7|1557342590.06556
M|12|AAPL|NYSE|190|27.6|1557342590.06575
A|23|AAPL|NYSE|197|26.2|1557342590.06596
B|24|AAPL|NYSE|161|24.2|1557342590.06615
B|25|AAPL|NYSE|126|24.7|1557342590.06634
A|26|AAPL|NYSE|202|30.4|1557342590.06654
A|27|AAPL|NYSE|201|30|1557342590.06674
B|28|AAPL|NYSE|150|24.5|1557342590.06693
T|29|AAPL|NYSE|619|25.8|1557342590.06713
A|30|AAPL|NYSE|191|25.9|1557342590.06729
A|31|AAPL|NYSE|170|30.2|1557342590.06748
C|18|AAPL|NYSE|216|31|1557342590.06768
M|9|AAPL|NYSE|252|25.9|1557342590.06788
A|32|AAPL|NYSE|104|25.9|1557342590.06807
M|20|AAPL|NYSE|114|26.2|1557342590.06827
B|33|AAPL|NYSE|237|23.6|1557342590.06845
B|34|AAPL|NYSE|152|24.3|1557342590.06864
M|33|AAPL|NYSE|226|23.6|1557342590.06883
T|35|AAPL|NYSE|1419|25.6|1557342590.06902
B|36|AAPL|NYSE|175|24.2|1557342590.06918
B|37|AAPL|NYSE|192|25.4|1557342590.06939
M|26|AAPL|NYSE|201|30.4|1557342590.0696
C|21|AAPL|NYSE|252|27|1557342590.06978
A|38|AAPL|NYSE|161|26.4|1557342590.06998
B|39|AAPL|NYSE|201|25.4|1557342590.07019
M|22|AAPL|NYSE|175|30.7|1557342590.07038
B|40|AAPL|NYSE|190|24.6|1557342590.07056
B|41|AAPL|NYSE|169|24.2|1557342590.07076
T|42|AAPL|NYSE|735|25.5|1557342590.07095
M|41|AAPL|NYSE|163|24.2|1557342590.07109
M|16|AAPL|NYSE|257|26.1|1557342590.07128
A|43|AAPL|NYSE|253|25.9|1557342590.07145
A|44|AAPL|NYSE|163|30|1557342590.07165
A|45|AAPL|NYSE|225|30.7|1557342590.07185
M|43|AAPL|NYSE|255|25.9|1557342590.07204
